PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
50741,login,0.0,00:00.02,2,1,28,12K,0B,1000K,50741,48554,sleeping,*0[9],0.00000,0.00000,0,2609,181,156,47,1660,251,227,5,2,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
50595,mdworker,0.0,00:12.14,3,1,58,1920K,0B,2468K,50595,1,sleeping,*0[1],0.00000,0.00000,89,38071,225,35006,10404,304958,42852,113579,26,131,0.0,_spotlight,N/A,N/A,N/A,N/A,N/A,N/A
50581,com.apple.audio.,0.0,00:00.01,2,2,21,12K,0B,896K,50581,1,sleeping,0[2],0.00000,0.00000,501,3312,141,114,36,502,228,78,0,2,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50580,IMRemoteURLConne,0.0,00:00.13,3,1,65,688K,0B,1936K,50580,1,sleeping,0[1],0.00000,0.00000,501,5654,187,400,771,9341,1424,4083,0,94,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50577,rtcreportingd,0.0,00:00.78,3,1,49,1432K,0B,3252K,50577,1,sleeping,*0[1],0.00000,0.00000,0,7534,348,7467,1703,10420,6998,7227,50,50,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
50575,avconferenced,0.0,19:10.22,2,1,161,11M,0B,8208K,50575,1,sleeping,*0[1],0.00000,0.00000,501,108459,1863,3364710,1804762,5384624,3750946,4526415,1694,200445,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
50554,ath,0.0,00:00.26,6,1,53,560K,0B,1080K,48440,48440,sleeping,*0[1],0.00000,0.00000,501,2743,114,740,42,3453,5150,3780,6,1,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48556,bash,0.0,00:00.63,1,0,16,484K,0B,348K,48556,48555,sleeping,*0[1],0.00000,0.00000,501,14932,8021,426,207,58517,298,4553,36,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48555,login,0.0,00:00.03,2,1,29,12K,0B,980K,48555,48554,sleeping,*0[9],0.00000,0.00000,0,2593,182,156,47,2052,250,291,0,2,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
48539,BTTRelaunch,0.0,00:00.92,4,2,140,1376K,0B,2484K,48539,1,sleeping,*0[283],0.00000,0.00000,501,7481,244,6627,872,15108,20167,19159,0,1148,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48538,BetterTouchTool,0.0,00:59.45,5,1,272,12M,0B,11M,48538,1,sleeping,*0[2876],0.00000,0.00000,501,213976,898,2374196,1051548,355383,2016130,958597,485,4560,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
